20260604_005701,720,0.5293,PSP_010854_1325.jpg,../detections/frames/best_frame_20260604_005701.jpg
20260604_011010,1,720,0.5293,PSP_010854_1325.jpg,../detections/frames/top_1_20260604_011010.jpg
20260604_011010,2,750,0.5063,PSP_010854_1325.jpg,../detections/frames/top_2_20260604_011010.jpg
20260604_011010,3,90,0.489,PSP_010854_1325.jpg,../detections/frames/top_3_20260604_011010.jpg
20260604_011010,4,300,0.4796,PSP_010854_1325.jpg,../detections/frames/top_4_20260604_011010.jpg
20260604_011010,5,60,0.4762,PSP_010854_1325.jpg,../detections/frames/top_5_20260604_011010.jpg
